slice,slice_value,model,n_rows,MAE,RMSE,Bias,WAPE,sMAPE_pct,AsymWAPE,UPR,OPR
overall,ALL,Statistical,241780,1.4716143658000151,23.649214265100305,-0.5431814136088046,1.3372982491548187,37.57149033556582,1.0560670175955058,0.9154514018158496,0.4218468473389688
overall,ALL,LightGBM,241780,1.555898369343748,23.237615321426905,-0.46763822678021816,1.4138895443950756,37.60587726428597,1.0842451264241983,0.9194229174387598,0.4944666269563153
overall,ALL,XGBoost_soft,241780,1.9402687398537513,23.840165401620837,0.10457219492298785,1.7631779418554931,36.17309082461846,1.1437760420490306,0.8340750921457996,0.929102849709694
overall,ALL,XGBoost_hard,241780,1.192237857115146,23.758834683224194,-0.8364795294213748,1.083420790085468,12.66116108328187,0.9756581860130144,0.9217768839767876,0.16164390610868068
nest,GH1 Omenako,Statistical,46480,0.3483590118304463,4.196473384934488,-0.20826110677428275,1.162280300759396,20.953239872946998,1.0064707004193751,0.928565900249365,0.23371440051003095
nest,GH1 Omenako,LightGBM,46480,0.40114541909901136,4.2194908853834505,-0.15642755430650276,1.338399187403779,20.804722729542608,1.0662367114973883,0.9301554735441926,0.4082437138595865
nest,GH1 Omenako,XGBoost_soft,46480,0.47242753351333905,4.275241989231352,-0.043498915978055074,1.5762279633694638,20.467109076327898,1.099195873233795,0.8606798281659607,0.7155481352035031
nest,GH1 Omenako,XGBoost_hard,46480,0.31171253966006884,4.225562428136747,-0.2506630203141136,1.0400114021534708,5.194045047008299,0.9721153033043811,0.9381672538798365,0.10184414827363435
nest,GH3 Vobsi,Statistical,43335,0.730351922028459,8.112166267753702,-0.28100786121688565,1.2968572235649773,44.786099453925644,1.0308963565941442,0.897915923108728,0.39894130045624937
nest,GH3 Vobsi,LightGBM,43335,0.7611793780943324,7.922702057486022,-0.225070678575231,1.3515963265608644,44.210570081133476,1.0342806058252192,0.8756227454573966,0.47597358110346766
nest,GH3 Vobsi,XGBoost_soft,43335,0.9521619608496595,7.645821543012364,0.12924329145125185,1.6907165979684489,42.68719134859511,1.0506469864344739,0.7306121806674862,0.9601044173009629
nest,GH3 Vobsi,XGBoost_hard,43335,0.6368713004176764,7.464773091154606,-0.3122971870404984,1.1308673551977055,12.079195609407494,0.9387561866775933,0.8427006024175374,0.28816675278016796
nest,RW1 Muhanga,Statistical,94650,2.0889885415804437,32.244381363464285,-0.7657841097104859,1.3573334623504427,42.08635885113575,1.0707466577544575,0.9274532554564651,0.4298802068939778
nest,RW1 Muhanga,LightGBM,94650,2.184818775589602,31.55705089804405,-0.6781933205180497,1.4195997604829809,42.265015644649964,1.0932866341871927,0.9301300710392986,0.4894696894436823
nest,RW1 Muhanga,XGBoost_soft,94650,2.7590074966998417,32.52753204340461,0.13182416630364502,1.7926824985421843,40.547958960851545,1.1665704715787741,0.8535144580970687,0.9391680404451157
nest,RW1 Muhanga,XGBoost_hard,94650,1.6533992908230324,32.34563201439042,-1.2218866204183836,1.0743066031193795,15.246716843607404,0.9808472446291848,0.9341175653840873,0.1401890377352921
nest,RW2 Kayonza,Statistical,57315,1.9234516006552596,24.04817326319223,-0.6454066874210398,1.3434720379677325,38.137465915426354,1.0459136272419072,0.8971344218789946,0.4463376160887379
nest,RW2 Kayonza,LightGBM,57315,2.0546290360452852,23.905291509157085,-0.5557076176160495,1.4350954593206697,38.5430813444628,1.0861118903927098,0.9116201059287296,0.5234753533919402
nest,RW2 Kayonza,XGBoost_soft,57315,2.5256520287547763,24.31658134190774,0.16099414686312485,1.7640905947997758,36.76009625704552,1.138577236136635,0.8258205568050647,0.9382700379947112
nest,RW2 Kayonza,XGBoost_hard,57315,1.5646481648765593,24.430792264628096,-1.071416491604292,1.0928588263167516,14.886899100581527,0.978023086743929,0.9206052169575178,0.1722536093592337
demand_class,Intermittent,Statistical,199530,1.1889878927085,22.570935829350354,-0.3567933982975606,1.4062759586966629,34.393844745244195,1.0781831559505357,0.9141367545774726,0.49213920411918993
demand_class,Intermittent,LightGBM,199530,1.2827997544326808,22.084184623645665,-0.2509143307192535,1.5172319798574558,34.37134538696658,1.1104109986412138,0.9070005080330925,0.6102314718243631
demand_class,Intermittent,XGBoost_soft,199530,1.6355103987779784,22.869018230492017,0.2657946000964767,1.9344006512636043,33.00055803599314,1.1848108736990517,0.8100159849167753,1.1243846663468289
demand_class,Intermittent,XGBoost_hard,199530,0.8972280700902121,22.559080425931256,-0.664490540397434,1.0611968987854181,10.030970655133872,0.9694400932141869,0.9235616904285712,0.13763520835684648
demand_class,Zero_only,Statistical,19645,1.824382794604225,17.9511568306946,-1.824382794604225,1.0,28.852125208897952,1.0,1.0,0.0
demand_class,Zero_only,LightGBM,19645,1.824382794604225,17.9511568306946,-1.824382794604225,1.0,28.852125208897952,1.0,1.0,0.0
demand_class,Zero_only,XGBoost_soft,19645,1.824382794604225,17.9511568306946,-1.824382794604225,1.0,28.852125208897952,1.0,1.0,0.0
demand_class,Zero_only,XGBoost_hard,19645,1.824382794604225,17.9511568306946,-1.824382794604225,1.0,28.852125208897952,1.0,1.0,0.0
demand_class,Lumpy,Statistical,22080,3.705424086627746,35.12454328442505,-1.1008743608711211,1.3606253651650668,72.92012034555036,1.0418299687544172,0.8824322705490926,0.4781930946159742
demand_class,Lumpy,LightGBM,22080,3.771535824399819,34.91035561515009,-1.1859038069369243,1.3849014818105139,72.68522255744534,1.0684216020724935,0.9101816622034833,0.47471981960703075
